"","Amazonas","Antioquia","Arauca","Atlántico","Bolívar","Boyacá","Caldas","Caquetá","Casanare","Cauca","Cesar","Chocó","Córdoba","Cundinamarca","Guainía","Guaviare","Huila","La.Guajira","Magdalena","Meta","Nariño","Norte.de.Santander","Putumayo","Quindío","Risaralda","San.Andrés.y.Providencia","Santander","Sucre","Tolima","Valle.del.Cauca","Vaupés","Vichada","Venezuela","Honduras","Costa.Rica","Rep..Dominicana","Ecuador"
"Amazonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Antioquia",0,0.399400898652022,0,0,0.5,0,0.00034965034965035,0,0,0,0.333333333333333,0.000499750124937531,0.5,0,0,0,0,0.000249500998003992,0.0001998001998002,0.00044806895124753,0.0103190046582935,0,0,0,0.0003996003996004,0,0,0.5,0,0,0,0,NA,NA,NA,NA,NA
"Arauca",0,0,0.769690011481056,0,0,0,0,0,0.00044955044955045,0,0,0,0,0,0,0.266666666666667,0,0,0,0.00611559078135839,0,0.599700149925038,0,0,0,0,0.5,0,0,0,0,0.266666666666667,NA,NA,NA,NA,NA
"Atlántico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Bolívar",0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Boyacá",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Caldas",0,0,0,0,0,0,0.467032967032967,0,0,0.000473186119873817,0,0,0,0,0,0,0,0,0,0,0.0113509051241228,0,0,0.000424548916775925,0.0456686170971886,0,0,0,0.2,0.00640732265446221,0,0,NA,NA,NA,NA,NA
"Caquetá",0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.0147692307692308,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Casanare",0,0,0,0,0,0,0,0,0.899100899100899,0,0,0,0,0,0,0,0.0147692307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Cauca",0,0,0,0,0,0,0,0,0,0.804416403785489,0,0,0,0,0,0,0,0,0,0,0.0681054307447374,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Cesar",0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.000249500998003992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Chocó",0,0.000199700449326011,0,0,0,0,0,0,0,0,0,0.999500249875062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Córdoba",0,0.000199700449326011,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Cundinamarca",0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Guainía",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Guaviare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Huila",0,0.000199700449326011,0,0,0,0,0.00034965034965035,0.2,0,0.000473186119873817,0,0,0,0,0,0,0.494769230769231,0,0,0,0,0,0.133333333333333,0.000424548916775925,0.0003996003996004,0,0,0,0.2,0,0,0,NA,NA,NA,NA,NA
"La Guajira",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199600798403194,0.0001998001998002,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Magdalena",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598802395209581,0.3996003996004,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Meta",0,0,0.0275545350172216,0,0,0,0,0.2,0,0,0,0,0,0.4,0,0.266666666666667,0.0393846153846154,0,0,0.792988271316147,0,0,0,0,0,0,0,0,0.2,0,0,0.266666666666667,NA,NA,NA,NA,NA
"Nariño",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552066749218704,0,0.133333333333333,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Norte de Santander",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000299850074962519,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"Putumayo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00825520372663479,0,0.133333333333333,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
